year,england_wales_total_fertility_rate,fertility_source,uk_social_media_users_millions,social_media_source
2020,1.58,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/bulletins/birthsummarytablesenglandandwales/2024refreshedpopulations,45.0,https://datareportal.com/reports/digital-2020-united-kingdom
2021,1.61,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/bulletins/birthsummarytablesenglandandwales/2024refreshedpopulations,53.0,https://datareportal.com/reports/digital-2021-united-kingdom
2022,1.49,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/bulletins/birthsummarytablesenglandandwales/2024refreshedpopulations,57.6,https://datareportal.com/reports/digital-2022-united-kingdom
2023,1.42,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/bulletins/birthsummarytablesenglandandwales/2024refreshedpopulations,57.1,https://datareportal.com/reports/digital-2023-united-kingdom
2024,1.41,https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/livebirths/bulletins/birthsummarytablesenglandandwales/2024refreshedpopulations,56.2,https://datareportal.com/reports/digital-2024-united-kingdom
